,,,,,lineOfAction,lineOfAction
,,,,,mean,std
region,condition,position,load,plane,,
ss4,split25_upper,abd0,0N,SP,151.015605524809,9.476130143100729
ss4,split25_upper,abd0,0N,TP,179.917371148469,13.52179237078562
ss4,split25_upper,abd0,20N,SP,147.01975898444505,9.646740069873351
ss4,split25_upper,abd0,20N,TP,184.38154680432237,15.178540073905515
ss4,split25_upper,abd0,40N,SP,146.48424623480025,15.028752709272807
ss4,split25_upper,abd0,40N,TP,185.9937315612998,17.90230321562146
ss4,split25_upper,abd90,0N,SP,159.86610248452078,21.38973170720566
ss4,split25_upper,abd90,0N,TP,188.56360405792438,18.902057941198528
ss4,split25_upper,abd90,20N,SP,146.80898944549784,12.986070630732499
ss4,split25_upper,abd90,20N,TP,189.86005707459043,21.0736572318333
ss4,split25_upper,abd90,40N,SP,144.7341225247751,13.756391000653826
ss4,split25_upper,abd90,40N,TP,192.26904922960892,23.98379768586309
ss4,split50,ABER,0N,SP,141.5075967312352,12.287097145020343
ss4,split50,ABER,0N,TP,186.1878961331169,15.550810037149011
ss4,split50,ABER,20N,SP,133.8105680262056,16.203653460041785
ss4,split50,ABER,20N,TP,195.62406941562443,24.672860714838766
ss4,split50,ABER,40N,SP,130.334708469958,14.901241499045213
ss4,split50,ABER,40N,TP,200.64587595896592,25.978301007665895
ss4,split50,APP,0N,SP,143.68582346407175,13.391846819629249
ss4,split50,APP,0N,TP,184.36435874712117,16.780151462678667
ss4,split50,APP,20N,SP,142.17716329306361,17.46148598000804
ss4,split50,APP,20N,TP,190.2137428663084,24.612851441388127
ss4,split50,APP,40N,SP,140.04459366663085,14.970398499334578
ss4,split50,APP,40N,TP,190.19716895432126,28.803853252899973
ss4,split50,abd0,0N,SP,154.78601219733255,7.238628233551111
ss4,split50,abd0,0N,TP,185.8170944333001,13.00196567820131
ss4,split50,abd0,20N,SP,152.82442427620697,6.155613911843923
ss4,split50,abd0,20N,TP,188.94094916172327,15.279356934368074
ss4,split50,abd0,40N,SP,153.15413420977183,8.102197333950299
ss4,split50,abd0,40N,TP,187.52558504664228,15.753304799231152
ss4,split50,abd90,0N,SP,150.76845889121637,12.667953014161112
ss4,split50,abd90,0N,TP,188.28165688966544,13.632418905730058
ss4,split50,abd90,20N,SP,146.854773771111,16.298966185867133
ss4,split50,abd90,20N,TP,191.3128232890515,15.55120041335808
ss4,split50,abd90,40N,SP,145.87862762989312,17.673546834813084
ss4,split50,abd90,40N,TP,194.91570818272004,20.529416569436453
