,,,,,stabilityRatio,stabilityRatio
,,,,,mean,std
region,condition,position,load,plane,,
ss4,split25_upper,ABER,20N,SP,-1.2285114422328798,0.7233548454376483
ss4,split25_upper,ABER,20N,TP,0.11903522650862586,0.6407844083966509
ss4,split25_upper,ABER,40N,SP,-1.2965233641714682,0.9241195915429701
ss4,split25_upper,ABER,40N,TP,-0.08320948787583446,0.2655233055764236
ss4,split25_upper,APP,0N,SP,-0.9256452736261928,0.5434160048590218
ss4,split25_upper,APP,0N,TP,0.009515498105425632,0.5401467917436059
ss4,split25_upper,APP,20N,SP,-0.9488617632193017,0.6033444732948404
ss4,split25_upper,APP,20N,TP,0.09618769622039913,0.40918320126563534
ss4,split25_upper,APP,40N,SP,-0.9194568392864617,0.6310835754242993
ss4,split25_upper,APP,40N,TP,0.12693618130213638,0.5099884694342017
ss4,split25_upper,abd0,0N,SP,-0.5786932712347828,0.2669441914916756
ss4,split25_upper,abd0,0N,TP,-0.04410348508914983,0.2402799166574967
ss4,split25_upper,abd0,20N,SP,-0.674635276172335,0.2597996494373475
ss4,split25_upper,abd0,20N,TP,-0.15330382102205262,0.24056185979805025
ss4,split25_upper,abd0,40N,SP,-0.7642891097936624,0.5788827334298606
ss4,split25_upper,abd0,40N,TP,-0.17330261792383603,0.3337420293254346
ss4,split25_upper,abd90,0N,SP,-0.3829069645086641,0.4163191170869243
ss4,split25_upper,abd90,0N,TP,-0.15868601345317884,0.346403818400878
ss4,split25_upper,abd90,20N,SP,-0.7043621898497231,0.36936624785557304
ss4,split25_upper,abd90,20N,TP,-0.18939938620950808,0.40005779493950905
ss4,split25_upper,abd90,40N,SP,-0.7751463387160029,0.43059396987131654
ss4,split25_upper,abd90,40N,TP,-0.2734497820937637,0.526836902629945
ss4,split50,ABER,0N,SP,-0.8528748070228354,0.3808054194118267
ss4,split50,ABER,0N,TP,-0.11750279504002448,0.2884406888454662
ss4,split50,ABER,20N,SP,-1.2099911485275805,0.6549142884679537
ss4,split50,ABER,20N,TP,-0.3573649724684065,0.5849639129224354
ss4,split50,ABER,40N,SP,-1.3770712347862637,0.7408092626381261
ss4,split50,ABER,40N,TP,-0.48348802074940084,0.6277581529172204
ss4,split50,APP,0N,SP,-0.7991356394296256,0.406913668607505
ss4,split50,APP,0N,TP,-0.08245086746462436,0.31205509028885026
ss4,split50,APP,20N,SP,-0.8927477169744454,0.5522623072841164
ss4,split50,APP,20N,TP,-0.2362595372935553,0.541490357385703
ss4,split50,APP,40N,SP,-0.9479989879463071,0.5402338620948985
ss4,split50,APP,40N,TP,-0.23427395834453052,0.6307852356315754
ss4,split50,abd0,0N,SP,-0.47940416937174224,0.16000140731474552
ss4,split50,abd0,0N,TP,-0.10357757327921127,0.2322811843418277
ss4,split50,abd0,20N,SP,-0.520390293348487,0.14062860392386275
ss4,split50,abd0,20N,TP,-0.1674660756402888,0.28500681187126464
ss4,split50,abd0,40N,SP,-0.5192613451066241,0.1940233547799027
ss4,split50,abd0,40N,TP,-0.14300812327141604,0.2962810250789395
ss4,split50,abd90,0N,SP,-0.5933808428302663,0.3068247633438526
ss4,split50,abd90,0N,TP,-0.14869683057810446,0.2438811660665121
ss4,split50,abd90,20N,SP,-0.7267577483989622,0.4447954065922274
ss4,split50,abd90,20N,TP,-0.21206074769279176,0.292714415841322
ss4,split50,abd90,40N,SP,-0.7764761826700664,0.5205130977153027
ss4,split50,abd90,40N,TP,-0.3160522506826361,0.46313554185664335
